--------------------------------------------------------------------------------
---------------------- FAST INDIVIDUAL BLADE FILE ------------------------------
Properties generated using NuMAD2PreComp2FASTBlade on 14-Apr-2026
---------------------- BLADE PARAMETERS ----------------------------------------
51               NBlInpSt    - Number of blade input stations (-)
F                CalcBMode   - Calculate blade mode shapes internally {T: ignore mode shapes from below, F: use mode shapes from below} [CURRENTLY IGNORED] (flag)
1.5              BldFlDmp(1) - Blade flap mode #1 structural damping in percent of critical (%%)
1.5              BldFlDmp(2) - Blade flap mode #2 structural damping in percent of critical (%%)
1.5              BldEdDmp(1) - Blade edge mode #1 structural damping in percent of critical (%%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
1                FlStTunr(1) - Blade flapwise modal stiffness tuner, 1st mode (-)
1                FlStTunr(2) - Blade flapwise modal stiffness tuner, 2nd mode (-)
1                AdjBlMs     - Factor to adjust blade mass density (-)
1                AdjFlSt     - Factor to adjust blade flap stiffness (-)
1                AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
BlFract  AeroCent  StrcTwst  BMassDen  FlpStff       EdgStff       GJStff        EAStff        Alpha  FlpIner  EdgIner  PrecrvRef  PreswpRef  FlpcgOf  EdgcgOf  FlpEAOf  EdgEAOf
0.30000  0.237      4.210     306.200   5.99500e+09   1.58000e+10   1.74000e+08   6.85000e+09  0.000  160.100  1111.000  0.000      0.000      0.034    1.123    0.011    0.533
0.32000  0.254      7.040     292.300   5.26300e+09   1.41200e+10   1.43900e+08   6.85900e+09  0.000  135.300  958.600  0.000      0.000      0.030    1.119    0.008    0.502
0.34000  0.254      7.590     274.900   4.41600e+09   1.14500e+10   1.13900e+08   6.75900e+09  0.000  109.000  775.100  0.000      0.000      0.027    1.031    0.007    0.436
0.36000  0.254      7.010     258.400   3.58300e+09   9.39200e+09   8.85100e+07   6.67300e+09  0.000   85.060  634.800  0.000      0.000      0.024    0.964    0.004    0.383
0.38000  0.237      6.530     243.100   2.92900e+09   7.40600e+09   6.86800e+07   6.58200e+09  0.000   66.810  507.100  0.000      0.000      0.021    0.848    0.001    0.322
0.40000  0.237      6.080     230.100   2.47900e+09   6.08300e+09   5.46300e+07   6.49800e+09  0.000   54.390  417.600  0.000      0.000      0.019    0.788    0.000    0.282
0.42000  0.254      5.660     217.900   2.11800e+09   5.13600e+09   4.38100e+07   6.41000e+09  0.000   44.950  350.900  0.000      0.000      0.016    0.771   -0.001    0.258
0.44000  0.237      5.270     206.300   1.80900e+09   3.97900e+09   3.51300e+07   6.31300e+09  0.000   37.140  278.000  0.000      0.000      0.014    0.665   -0.004    0.215
0.46000  0.237      4.910     195.000   1.50800e+09   3.18200e+09   2.75900e+07   6.23200e+09  0.000   29.910  225.000  0.000      0.000      0.013    0.609   -0.003    0.186
0.48000  0.221      4.580     183.400   1.20900e+09   2.43000e+09   2.07700e+07   6.12900e+09  0.000   23.140  175.300  0.000      0.000      0.013    0.528   -0.002    0.157
0.50000  0.221      4.260     173.000   9.71400e+08   1.94700e+09   1.56300e+07   6.04000e+09  0.000   17.980  141.100  0.000      0.000      0.013    0.484    0.000    0.137
0.52000  0.221      3.970     163.900   7.93200e+08   1.58700e+09   1.20600e+07   5.94700e+09  0.000   14.270  114.400  0.000      0.000      0.013    0.443    0.002    0.121
0.54000  0.237      3.690     155.200   6.48800e+08   1.34800e+09   9.43900e+06   5.85600e+09  0.000   11.390   95.490  0.000      0.000      0.013    0.431    0.003    0.111
0.56000  0.254      3.430     146.800   5.20300e+08   1.13800e+09   7.27200e+06   5.75600e+09  0.000    8.932   79.430  0.000      0.000      0.013    0.419    0.004    0.103
0.58000  0.237      3.180     138.800   4.12200e+08   8.82300e+08   5.46900e+06   5.64700e+09  0.000    6.892   61.790  0.000      0.000      0.014    0.359    0.006    0.086
0.60000  0.237      2.940     131.000   3.29200e+08   7.09600e+08   4.09700e+06   5.52800e+09  0.000    5.350   49.330  0.000      0.000      0.015    0.327    0.008    0.077
0.62000  0.237      2.710     123.700   2.63400e+08   5.68600e+08   3.08800e+06   5.40300e+09  0.000    4.168   39.140  0.000      0.000      0.015    0.297    0.010    0.068
0.64000  0.221      2.470     116.400   2.09700e+08   4.46800e+08   2.33600e+06   5.27500e+09  0.000    3.234   30.070  0.000      0.000      0.015    0.257    0.011    0.061
0.66000  0.204      2.230     109.600   1.64200e+08   3.46900e+08   1.75000e+06   5.13000e+09  0.000    2.479   22.810  0.000      0.000      0.015    0.219    0.011    0.053
0.68000  0.204      1.970     102.500   1.25600e+08   2.78700e+08   1.27300e+06   4.97500e+09  0.000    1.846   17.640  0.000      0.000      0.015    0.199    0.013    0.048
0.70000  0.204      1.700      94.610   9.36800e+07   2.21900e+08   8.98100e+05   4.80700e+09  0.000    1.332   13.420  0.000      0.000      0.016    0.181    0.014    0.043
0.72000  0.204      1.410      87.770   6.82100e+07   1.74000e+08   6.18200e+05   4.62300e+09  0.000    0.945   10.040  0.000      0.000      0.015    0.162    0.014    0.038
0.74000  0.204      1.120      80.980   4.89700e+07   1.35500e+08   4.23400e+05   4.42700e+09  0.000    0.661    7.430  0.000      0.000      0.015    0.143    0.014    0.034
0.76000  0.204      0.830      74.390   3.45400e+07   1.03800e+08   2.86000e+05   4.20700e+09  0.000    0.456    5.387  0.000      0.000      0.014    0.126    0.014    0.030
0.78000  0.204      0.570      67.370   2.41800e+07   7.94800e+07   1.94300e+05   3.97400e+09  0.000    0.311    3.854  0.000      0.000      0.013    0.112    0.012    0.026
0.80000  0.204      0.350      61.110   1.65400e+07   6.04100e+07   1.31800e+05   3.72500e+09  0.000    0.208    2.722  0.000      0.000      0.011    0.097    0.011    0.023
0.82000  0.204      0.190      55.010   1.09300e+07   4.54900e+07   8.81700e+04   3.45900e+09  0.000    0.136    1.881  0.000      0.000      0.010    0.083    0.010    0.019
0.84000  0.204      0.070      48.460   6.88500e+06   3.39900e+07   5.89200e+04   3.16900e+09  0.000    0.085    1.258  0.000      0.000      0.009    0.072    0.008    0.017
0.86000  0.204      0.010      40.240   3.96300e+06   2.22400e+07   3.71600e+04   2.72400e+09  0.000    0.048    0.750  0.000      0.000      0.008    0.061    0.008    0.018
0.88000  0.204     -0.010      33.300   2.50100e+06   1.48600e+07   2.65900e+04   2.27700e+09  0.000    0.031    0.476  0.000      0.000      0.007    0.058    0.007    0.022
0.90000  0.204      0.040      29.160   2.43700e+06   1.29400e+07   2.83000e+04   1.96500e+09  0.000    0.030    0.421  0.000      0.000      0.007    0.058    0.007    0.022
0.92000  0.204      0.120      24.650   2.30900e+06   1.08500e+07   3.11500e+04   1.63200e+09  0.000    0.028    0.362  0.000      0.000      0.007    0.058    0.007    0.022
0.94000  0.204      0.230      20.000   2.07800e+06   8.58400e+06   3.42400e+04   1.27700e+09  0.000    0.026    0.300  0.000      0.000      0.007    0.058    0.007    0.022
0.96000  0.204      0.230      15.490   1.68600e+06   6.12500e+06   3.64200e+04   8.95300e+08  0.000    0.022    0.241  0.000      0.000      0.007    0.061    0.007    0.022
0.98000  0.204      0.240      10.330   1.07400e+06   3.52900e+06   3.81800e+04   4.93500e+08  0.000    0.016    0.174  0.000      0.000      0.007    0.064    0.007    0.023
1.00000  0.204      0.240      10.330   1.07400e+06   3.52900e+06   3.81800e+04   4.93500e+08  0.000    0.016    0.174  0.000      0.000      0.007    0.064    0.007    0.023
---------------------- BLADE MODE SHAPES ---------------------------------------
-1.24191         BldFl1Sh(2) - Flap mode 1, coeff of x^2
13.3398          BldFl1Sh(3) -            , coeff of x^3
-23.3323         BldFl1Sh(4) -            , coeff of x^4
16.199           BldFl1Sh(5) -            , coeff of x^5
-3.96465         BldFl1Sh(6) -            , coeff of x^6
-0.0771159       BldFl2Sh(2) - Flap mode 2, coeff of x^2
-0.853083        BldFl2Sh(3) -            , coeff of x^3
-3.77143         BldFl2Sh(4) -            , coeff of x^4
9.51986          BldFl2Sh(5) -            , coeff of x^5
-3.81822         BldFl2Sh(6) -            , coeff of x^6
0.499626         BldEdgSh(2) - Edge mode 1, coeff of x^2
-2.74982         BldEdgSh(3) -            , coeff of x^3
6.71441          BldEdgSh(4) -            , coeff of x^4
-3.8819          BldEdgSh(5) -            , coeff of x^5
0.417678         BldEdgSh(6) -            , coeff of x^6
