Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 14-Apr-2026 at 22:13:17.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first   6 modes printed


 -------- Mode No.   1  (freq = 0.37668E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.4800	 0.001002	 0.003322	 0.000216	 0.000755	-0.018627
 0.5600	 0.001181	 0.001166	 0.000261	 0.000358	-0.038086
 0.6400	 0.001090	-0.003223	 0.000254	-0.000508	-0.071971
 0.7200	 0.000534	-0.010087	 0.000149	-0.002016	-0.126328
 0.8000	-0.000733	-0.020284	-0.000108	-0.004184	-0.227439
 0.9000	-0.003741	-0.038955	-0.000733	-0.007823	-0.461799
 1.0000	-0.008593	-0.056187	-0.001690	-0.010332	-0.509044


 -------- Mode No.   4  (freq = 0.88009E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000009	-0.000212	 0.000054	 0.001302	 0.000003
 0.1600	-0.000039	-0.000536	 0.000244	 0.003333	 0.000014
 0.2400	-0.000132	-0.001739	 0.000768	 0.009364	 0.000265
 0.3200	-0.000315	-0.002743	 0.001688	 0.013381	 0.001502
 0.4000	-0.000557	-0.003261	 0.002890	 0.016356	 0.004477
 0.4800	-0.000824	-0.003333	 0.004251	 0.017167	 0.010775
 0.5600	-0.001046	-0.002120	 0.005423	 0.011696	 0.024594
 0.6400	-0.001078	 0.001245	 0.005717	-0.004193	 0.051576
 0.7200	-0.000714	 0.007419	 0.004043	-0.036024	 0.100229
 0.8000	 0.000329	 0.017512	-0.000990	-0.085405	 0.200303
 0.9000	 0.003126	 0.037435	-0.014515	-0.173318	 0.446132
 1.0000	 0.007882	 0.055383	-0.036097	-0.233847	 0.494693


 -------- Mode No.   5  (freq = 0.12361E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000004	-0.000100	 0.000000	-0.000005	 0.000005
 0.1600	-0.000024	-0.000368	-0.000002	-0.000033	 0.000026
 0.2400	-0.000080	-0.000958	-0.000007	-0.000074	 0.000449
 0.3200	-0.000168	-0.001176	-0.000013	-0.000077	 0.002249
 0.4000	-0.000253	-0.000888	-0.000017	-0.000033	 0.005432
 0.4800	-0.000284	 0.000108	-0.000016	 0.000067	 0.009276
 0.5600	-0.000198	 0.001932	-0.000004	 0.000202	 0.011862
 0.6400	 0.000053	 0.004034	 0.000017	 0.000306	 0.005915
 0.7200	 0.000425	 0.004823	 0.000040	 0.000252	-0.025156
 0.8000	 0.000682	 0.001353	 0.000046	-0.000105	-0.129169
 0.9000	-0.000095	-0.018180	-0.000021	-0.001161	-0.482608
 1.0000	-0.003304	-0.042315	-0.000207	-0.002162	-0.561436


 -------- Mode No.   6  (freq = 0.14256E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000002	-0.000057	 0.000049	 0.001162	-0.000005
 0.1600	-0.000003	 0.000023	 0.000213	 0.002819	-0.000024
 0.2400	-0.000004	-0.000102	 0.000618	 0.006843	-0.000379
 0.3200	-0.000023	-0.000374	 0.001242	 0.008442	-0.001806
 0.4000	-0.000069	-0.000762	 0.001896	 0.007612	-0.003949
 0.4800	-0.000144	-0.001044	 0.002284	 0.001906	-0.005660
 0.5600	-0.000213	-0.000577	 0.001860	-0.011952	-0.006465
 0.6400	-0.000192	 0.001068	 0.000087	-0.030298	-0.008414
 0.7200	 0.000008	 0.003584	-0.002965	-0.041735	-0.024208
 0.8000	 0.000364	 0.004529	-0.005559	-0.019005	-0.104751
 0.9000	 0.000248	-0.009563	-0.000685	 0.114053	-0.459730
 1.0000	-0.001995	-0.032220	 0.020660	 0.255211	-0.548804
=================================================================================
